Date,Open,High,Low,Close,Volume
2020-01-01,352.3289881984999,354.3563416367158,351.69517141851065,352.3289881984999,3017176
2020-01-02,337.3639504434555,341.520106229209,335.0207065752534,337.3639504434555,3817087
2020-01-03,329.1529675837209,332.2073571721629,325.13918821024225,329.1529675837209,2986134
2020-01-04,318.9802886696525,319.88042675594113,318.51293306980006,318.9802886696525,7873483
2020-01-05,328.3627659410999,328.92830795533683,323.6142234280145,328.3627659410999,4477647
2020-01-06,328.50807784654023,333.9678694823116,326.9987683523461,328.50807784654023,4498168
2020-01-07,327.83547216756904,332.1030865755963,325.5893113585682,327.83547216756904,1186965
2020-01-08,316.4643885578408,316.7974972089848,313.2087824771808,316.4643885578408,4181340
2020-01-09,315.11458322518206,319.2486864102588,313.7531579199759,315.11458322518206,12148343
2020-01-10,316.6040083600871,321.0906925012761,315.04866564998764,316.6040083600871,1741146
2020-01-11,321.2772006817939,322.96741529763216,320.6770962011881,321.2772006817939,3666726
2020-01-12,320.49571529210743,326.4393851965968,320.11415795847705,320.49571529210743,2310505
2020-01-13,316.21888888977674,319.09261259876297,315.013027679745,316.21888888977674,3642643
2020-01-14,319.5035239060493,325.730831942098,318.48170938046076,319.5035239060493,2644715
2020-01-15,321.67502246811546,326.03510774900485,318.49789610069416,321.67502246811546,8345850
2020-01-16,317.20634616366124,322.85162211749036,314.696675303761,317.20634616366124,35010390
2020-01-17,310.61976130308267,319.04283096112965,306.5187968993851,310.61976130308267,17172812
2020-01-18,314.9324529041453,320.31679679752506,306.8420719097713,314.9324529041453,17148804
2020-01-19,321.11238043692634,325.70304154286794,315.9535051963064,321.11238043692634,4703344
2020-01-20,321.1548378450002,321.1900192612772,315.8203853031675,321.1548378450002,247619
2020-01-21,323.8135549411106,325.0668100104314,320.1249897396351,323.8135549411106,3920188
2020-01-22,314.58629757564205,316.2402930383294,313.58618644109276,314.58629757564205,11474455
2020-01-23,322.7184147973445,326.83117299314773,322.7111980259858,322.7184147973445,22619105
2020-01-24,331.59458175670886,333.3882004527085,328.0206422382944,331.59458175670886,2261536
2020-01-25,331.7523907676786,332.2284804671017,326.1290050916076,331.7523907676786,6686678
2020-01-26,342.0784711272676,343.60127685306145,340.88162307656245,342.0784711272676,1598094
2020-01-27,334.48078597882477,336.320940656547,329.40827705419593,334.48078597882477,9589021
2020-01-28,340.6127598285191,342.24007131524553,339.7537322135505,340.6127598285191,5350147
2020-01-29,342.45319471149736,344.8199313262492,338.54425755236963,342.45319471149736,6862158
2020-01-30,339.3743612582542,341.32733856804015,336.8524012589774,339.3743612582542,53345594
2020-01-31,337.07867542413913,337.2302212113167,332.18149463716,337.07867542413913,2602304
2020-02-01,339.5499838221388,341.3553399563609,338.20766348365987,339.5499838221388,959143
2020-02-02,338.4439859126701,338.72545383318885,338.03312440803944,338.4439859126701,8081603
2020-02-03,332.8514198881228,335.184123944448,329.26165196185735,332.8514198881228,3333050
2020-02-04,329.876233050771,330.8868829946474,325.78178058802837,329.876233050771,7634108
2020-02-05,330.6726675948983,331.9281588955884,330.16853459437374,330.6726675948983,3498572
2020-02-06,333.84297908062126,336.78011492680776,333.26137987571747,333.84297908062126,6681968
2020-02-07,327.47387639573674,331.0888948259262,325.09302236256354,327.47387639573674,7411143
2020-02-08,330.6075025264701,331.346642640513,326.69973145917334,330.6075025264701,1853260
2020-02-09,327.7716240761003,328.49487300568006,327.6340048016049,327.7716240761003,12709266
2020-02-10,336.06016508718085,336.14319606816997,333.35292242479176,336.06016508718085,1691374
2020-02-11,335.3833157402847,335.8604837358098,334.44820527408257,335.3833157402847,1484452
2020-02-12,325.8697596381771,327.69629358577885,321.83027450791167,325.8697596381771,3976165
2020-02-13,326.9407514317768,327.8667634532021,324.9893916400065,326.9407514317768,4434107
2020-02-14,314.5583328753582,316.12446390109653,313.3591229683501,314.5583328753582,6090264
2020-02-15,318.6804034658946,318.9266107513846,315.1191057521508,318.6804034658946,731441
2020-02-16,314.09501479861274,317.68472688507467,306.49015704322994,314.09501479861274,32048042
2020-02-17,309.41403011609225,310.96751482378454,304.2081493448104,309.41403011609225,886911
2020-02-18,306.387930286636,307.1631241949904,302.96121555025934,306.387930286636,2720424
2020-02-19,316.95829483727516,317.8740707350422,314.96021421058913,316.95829483727516,4051915
2020-02-20,327.92048140773846,329.77036301962283,327.56106226934054,327.92048140773846,6789570
2020-02-21,324.14468654708065,326.81968588822,323.5000990614546,324.14468654708065,7708484
2020-02-22,323.8644691401526,324.6079244601398,319.92775693649986,323.8644691401526,2758596
2020-02-23,323.5669066695478,324.45110152739306,318.9931099322292,323.5669066695478,2566886
2020-02-24,319.9160582253474,321.5480057838955,314.07674961807874,319.9160582253474,20258341
2020-02-25,317.42332478349397,317.4841347886838,315.8412393678435,317.42332478349397,746353
2020-02-26,324.1380637685025,327.0163899768367,322.7564089918839,324.1380637685025,7553430
2020-02-27,316.4049028433414,318.49479639875995,315.69866968625695,316.4049028433414,10843774
2020-02-28,313.30676197566885,317.9011190989972,312.2101806167951,313.30676197566885,8457107
2020-02-29,324.5965388575888,325.71443184636655,323.8882099921623,324.5965388575888,2995100
